price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
140,100%,10,Copacabana,Apartment,Entire home/apt,1,5,2,2,76,1.16,92,18
240,90%,55,Ipanema,Apartment,Private room,NA,1,1,1,5,0.08,88,30
430,100%,1,Copacabana,Apartment,Entire home/apt,1,3,3,7,8,0.12,98,30
301,100%,1,Copacabana,Apartment,Entire home/apt,1,6,5,3,18,0.28,98,16
314,100%,25,Copacabana,Apartment,Entire home/apt,4,10,2,3,17,0.26,89,14
181,100%,2,Copacabana,Apartment,Private room,1,2,1,3,17,0.27,96,28
260,100%,2,Ipanema,Apartment,Entire home/apt,1,4,1,2,106,6.08,94,0
683,N/A,1,Copacabana,Apartment,Entire home/apt,1.5,4,2,2,10,0.16,92,30
96,100%,4,Copacabana,Apartment,Entire home/apt,1,4,2,3,23,0.38,88,18
164,83%,1,Copacabana,Apartment,Entire home/apt,1,5,2,4,8,0.87,97,12
184,100%,8,Copacabana,Apartment,Entire home/apt,1,3,2,2,122,1.9,96,30
240,100%,8,Copacabana,Apartment,Entire home/apt,1,3,2,3,114,1.7,93,30
109,80%,3,Copacabana,Apartment,Private room,2,2,1,3,42,0.63,92,0
301,0%,1,Copacabana,Apartment,Entire home/apt,3,7,7,7,7,0.21,74,30
751,N/A,7,Ipanema,Apartment,Entire home/apt,1.5,2,1,4,6,0.12,90,30
379,100%,20,Ipanema,Apartment,Entire home/apt,2,6,1,4,68,1.04,91,30
379,100%,20,Ipanema,Apartment,Entire home/apt,2,6,1,4,52,0.8,95,30
65,100%,5,Ipanema,House,Private room,1.5,2,1,3,28,0.49,85,28
130,100%,5,Ipanema,House,Private room,1.5,3,1,3,10,0.16,95,30
271,100%,5,Ipanema,House,Private room,1.5,2,1,3,21,0.33,94,30
181,100%,5,Ipanema,House,Private room,1,2,1,3,27,0.41,94,29
147,100%,2,Copacabana,Apartment,Entire home/apt,1,6,2,2,218,3.49,96,22
201,100%,3,Copacabana,Apartment,Entire home/apt,1,3,2,3,12,0.18,96,0
201,0%,1,Ipanema,Apartment,Entire home/apt,1,4,4,2,80,1.27,83,30
349,83%,1,Copacabana,Apartment,Entire home/apt,2.5,4,6,3,35,0.54,99,13
89,100%,2,Ipanema,Apartment,Private room,1,2,1,3,59,0.97,95,29
150,90%,1,Copacabana,Apartment,Entire home/apt,1,4,2,2,119,1.81,89,8
161,100%,11,Copacabana,Apartment,Entire home/apt,1,4,2,3,31,0.49,96,29
143,100%,2,Copacabana,Apartment,Entire home/apt,1,4,3,2,22,0.33,96,29
410,100%,2,Copacabana,Apartment,Entire home/apt,2,8,1,3,20,0.33,87,29
301,100%,1,Copacabana,Apartment,Entire home/apt,1,3,1,1,26,0.39,94,28
700,100%,5,Ipanema,Apartment,Entire home/apt,3,12,1,1,17,0.26,87,30
147,50%,4,Ipanema,House,Private room,2,2,1,2,26,0.41,91,0
219,100%,2,Copacabana,Apartment,Entire home/apt,1,6,1,3,22,0.34,75,30
61,N/A,1,Copacabana,Apartment,Private room,2,2,1,1,111,1.69,89,13
219,100%,2,Copacabana,Apartment,Entire home/apt,1.5,5,4,3,38,0.69,98,0
201,70%,1,Ipanema,Apartment,Entire home/apt,1,3,1,3,124,1.89,95,19
345,100%,6,Copacabana,Apartment,Entire home/apt,3,9,4,3,113,1.75,94,15
283,100%,4,Ipanema,Apartment,Entire home/apt,1.5,4,4,3,142,2.21,93,17
400,N/A,1,Barra da Tijuca,Apartment,Entire home/apt,1,2,1,3,15,0.24,98,30
546,100%,1,Copacabana,Apartment,Entire home/apt,2.5,4,4,5,42,0.65,98,0
150,67%,1,Copacabana,Apartment,Entire home/apt,1,4,2,2,36,0.57,92,30
99,100%,2,Copacabana,Apartment,Private room,1,2,1,3,46,0.72,99,30
106,100%,3,Copacabana,Apartment,Entire home/apt,1,3,1,4,62,1.34,86,6
717,89%,1,Ipanema,Apartment,Entire home/apt,2,4,4,2,34,0.52,93,30
161,100%,2,Copacabana,Apartment,Entire home/apt,1,4,2,3,43,0.69,98,20
181,100%,1,Copacabana,Apartment,Entire home/apt,1,3,1,2,100,1.56,90,29
222,100%,6,Ipanema,Apartment,Entire home/apt,1,2,2,4,110,1.75,98,3
137,100%,26,Copacabana,Apartment,Entire home/apt,1,3,3,4,89,1.41,97,14
201,90%,2,Ipanema,Apartment,Entire home/apt,2,2,1,3,50,0.79,91,30
499,100%,2,Ipanema,Apartment,Entire home/apt,3,6,4,3,8,0.13,94,30
451,75%,3,Ipanema,Apartment,Entire home/apt,1,3,2,1,17,0.26,84,30
161,83%,10,Copacabana,Apartment,Entire home/apt,1,4,2,3,15,0.33,86,30
335,N/A,2,Copacabana,Apartment,Entire home/apt,1.5,4,3,5,27,0.42,97,0
273,90%,55,Ipanema,Apartment,Entire home/apt,1,2,1,3,8,0.13,93,30
161,N/A,1,Copacabana,Apartment,Entire home/apt,1,3,2,4,57,0.89,96,0
